Data Split,Balanced,Balance Method,Learner,Prediction Type,Training Observations,Testing Observations,TN,FN,TP,FP,Accuracy,Sensitivity,Specificity,Precision,F1 Score
60-40%,TRUE,datasets,ensemble of differing classifiers on train2,multiple,186088,296209,141795,20827,41730,91857,0.619579419,0.667071631,0.606864054,0.312380696,0.425503712
60-40%,TRUE,datasets,ensemble of differing classifiers on train3,multiple,186088,296209,155179,23120,39437,78473,0.657022575,0.63041706,0.664145824,0.334466966,0.437054974
60-40%,TRUE,datasets,ensemble of differing classifiers on train4,multiple,145308,296209,156160,23738,38819,77492,0.658248061,0.620538069,0.668344375,0.333751752,0.434051927
60-40%,TRUE,datasets,ensemble of differing ensembles,multiple,703572,296209,156349,23677,38880,77303,0.65909206,0.62151318,0.669153271,0.334644483,0.435045317
60-40%,TRUE,datasets,ensemble of glms on train1,response,186088,296209,139435,23847,38710,94217,0.601416567,0.618795658,0.596763563,0.29121247,0.396042643
60-40%,TRUE,datasets,ensemble of trees on train2,class,186088,296209,150834,22717,39840,82818,0.643714404,0.636859184,0.645549792,0.324805557,0.430202737
60-40%,TRUE,datasets,ensemble of naiveBayeses on train3,class,186088,296209,179134,34334,28223,54518,0.700036123,0.451156545,0.766670091,0.341100543,0.388484356
60-40%,TRUE,datasets,ensemble of nnets on train4,class,145308,296209,161838,23054,39503,71814,0.679726139,0.631472097,0.692645473,0.354869427,0.45438651
60-40%,TRUE,datasets,ensemble of similar ensembles,multiple,703572,296209,169467,28070,34487,64185,0.688547613,0.551289224,0.725296595,0.349511513,0.42780145
70-30%,FALSE,NA,glm,response,518551,222488,175210,45945,631,702,0.790339254,0.01354775,0.996009368,0.473368342,0.026341606
70-30%,FALSE,NA,rpart,class,518551,222488,175096,43406,3170,816,0.801238718,0.068060804,0.995361317,0.795283492,0.12539061
70-30%,FALSE,NA,rpart,prob,518551,222488,141495,34151,12425,34417,0.691812592,0.266768293,0.804351039,0.265253405,0.266008692
70-30%,FALSE,NA,naiveBayes,class,518551,222488,162674,39218,7358,13238,0.764229981,0.157978358,0.924746464,0.357253836,0.219079378
70-30%,FALSE,NA,nnet,class,518551,222488,173140,41046,5530,2772,0.803054547,0.118730677,0.984242121,0.666104553,0.201537957
70-30%,FALSE,NA,ensemble,multiple,2592755,222488,174861,43437,3139,1051,0.800043148,0.067395225,0.994025422,0.749164678,0.123665445
70-30%,TRUE,ROSE,glm,response,518551,222488,105554,16732,29844,70358,0.608563158,0.640759189,0.600038656,0.297838366,0.406654948
70-30%,TRUE,ROSE,rpart,class,518551,222488,132093,23892,22684,43819,0.695664485,0.487031948,0.750903861,0.341097394,0.401206236
70-30%,TRUE,ROSE,rpart,prob,518551,222488,93870,22359,24217,82042,0.530756715,0.519945895,0.533619082,0.227905401,0.316903851
70-30%,TRUE,ROSE,naiveBayes,class,518551,222488,117137,20663,25913,58775,0.642956025,0.556359498,0.665884078,0.305981957,0.394822647
